timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1666063044581,55,Webstaurant Product Page-5,200,OK,Main Thread Group 1-1,text,true,,177709,188,1,1,https://www.webstaurantstore.com/build/product-critical-styles.3687.e60a9b56199fffc0387b.css,50,0,0
1666063044636,45,Webstaurant Product Page-6,200,OK,Main Thread Group 1-1,text,true,,17648,180,1,1,https://www.webstaurantstore.com/build/product-reviews.8267.985631c01ace606a761d.css,45,0,0
1666063044682,52,Webstaurant Product Page-7,200,OK,Main Thread Group 1-1,text,true,,38733,189,1,1,https://www.webstaurantstore.com/build/preModule/synchronousPolyfills.0a8186328e6857116571.js,51,0,0
1666063044734,92,Webstaurant Product Page-8,200,OK,Main Thread Group 1-1,bin,true,,6768,184,1,1,https://cdnimg.webstaurantstore.com/uploads/design/2016/2/android-chrome-192x192.png?v=1,92,0,0
1666063044826,42,Webstaurant Product Page-9,200,OK,Main Thread Group 1-1,bin,true,,2002,169,1,1,https://cdnimg.webstaurantstore.com/uploads/design/2016/2/favicon.ico?v=1,42,0,0
1666063044868,54,Webstaurant Product Page-10,200,OK,Main Thread Group 1-1,text,true,,3049,174,1,1,https://www.webstaurantstore.com/build/files/e894e7685b7250519d1a.wss_icon.svg,54,0,0
1666063044922,42,Webstaurant Product Page-11,200,OK,Main Thread Group 1-1,text,true,,1366,187,1,1,https://www.webstaurantstore.com/uploads/design/2022/4/Icons/custom-icon-account-person.svg,42,0,0
1666063044964,48,Webstaurant Product Page-12,200,OK,Main Thread Group 1-1,text,true,,1275,177,1,1,https://www.webstaurantstore.com/uploads/design/2022/4/Icons/custom-icon-help.svg,48,0,0
1666063045013,72,Webstaurant Product Page-13,200,OK,Main Thread Group 1-1,text,true,,2095,179,1,1,https://www.webstaurantstore.com/uploads/design/2022/4/Icons/custom-icon-orders.svg,72,0,0
1666063045085,102,Webstaurant Product Page-14,200,OK,Main Thread Group 1-1,bin,true,,31908,165,1,1,https://www.webstaurantstore.com/images/outlet/large/55077/243835.jpg,101,0,0
1666063045187,54,Webstaurant Product Page-15,200,OK,Main Thread Group 1-1,bin,true,,1103,188,1,1,https://www.webstaurantstore.com/uploads/design/2022/2/pdp-gallery-placeholder-white-600.png,54,0,0
